departmentReferralID,ReferralID,DepartmentID
1001,1001,101
1002,1002,102
1003,1003,102
1004,1004,103
1005,1005,103
1006,1006,104
1007,1007,104
1008,1008,102
1009,1009,102
1010,1010,103
1011,1011,105
1012,1012,103
1013,1013,105
1014,1014,101
1015,1015,105
1016,1016,103
1017,1017,101
1018,1018,104
1019,1019,102
1020,1020,103
1021,1021,105
1022,1022,103
1023,1023,105
1024,1024,101
1025,1025,105
1026,1026,105
1027,1027,104
1028,1028,101
1029,1029,101
1030,1030,101
1031,1031,101
1032,1032,105
1033,1033,105
1034,1034,103
1035,1035,105
1036,1036,103
1037,1037,104
1038,1038,102
1039,1039,101
1040,1040,102
1041,1041,101
1042,1042,105
1043,1043,103
1044,1044,102
1045,1045,102
1046,1046,102
1047,1047,105
1048,1048,102
1049,1049,105
1050,1050,102
1051,1051,101
1052,1052,101
1053,1053,104
1054,1054,104
1055,1055,102
1056,1056,102
1057,1057,102
1058,1058,104
1059,1059,101
1060,1060,105
1061,1061,105
1062,1062,104
1063,1063,102
1064,1064,103
1065,1065,101
1066,1066,103
1067,1067,102
1068,1068,102
1069,1069,105
1070,1070,101
1071,1071,102
1072,1072,102
1073,1073,102
1074,1074,104
1075,1075,105
1076,1076,101
1077,1077,104
1078,1078,102
1079,1079,103
1080,1080,101
1081,1081,104
1082,1082,105
1083,1083,105
1084,1084,102
1085,1085,102
1086,1086,105
1087,1087,101
1088,1088,105
1089,1089,102
1090,1090,101
1091,1091,102
1092,1092,104
1093,1093,101
1094,1094,104
