departmentWaitlistID,DepartmentID,waitlistID
1001,101,1001
1002,102,1002
1003,102,1003
1004,103,1004
1005,103,1005
1006,104,1006
1007,104,1007
1008,102,1008
1009,102,1009
1010,103,1010
1011,105,1011
1012,103,1012
1013,105,1013
1014,101,1014
1015,105,1015
1016,103,1016
1017,101,1017
1018,104,1018
1019,102,1019
1020,103,1020
1021,105,1021
1022,103,1022
1023,105,1023
1024,101,1024
1025,105,1025
1026,105,1026
1027,104,1027
1028,101,1028
1029,101,1029
1030,101,1030
1031,101,1031
1032,105,1032
1033,105,1033
1034,103,1034
1035,105,1035
1036,103,1036
1037,104,1037
1038,102,1038
1039,101,1039
1040,102,1040
1041,101,1041
1042,105,1042
1043,103,1043
1044,102,1044
1045,102,1045
1046,102,1046
1047,105,1047
1048,102,1048
1049,105,1049
1050,102,1050
1051,101,1051
1052,101,1052
1053,104,1053
1054,104,1054
1055,102,1055
1056,102,1056
1057,102,1057
1058,104,1058
1059,101,1059
1060,105,1060
1061,105,1061
1062,104,1062
1063,102,1063
1064,103,1064
1065,101,1065
1066,103,1066
1067,102,1067
1068,102,1068
1069,105,1069
1070,101,1070
1071,102,1071
1072,102,1072
1073,102,1073
1074,104,1074
1075,105,1075
1076,101,1076
1077,104,1077
1078,102,1078
1079,103,1079
1080,101,1080
1081,104,1081
1082,105,1082
1083,105,1083
1084,102,1084
1085,102,1085
1086,105,1086
1087,101,1087
1088,105,1088
1089,102,1089
1090,101,1090
1091,102,1091
1092,104,1092
1093,101,1093
1094,104,1094
